value,count,
1.00000000,"617",15425.00000000
2.00000000,"2530",63250.00000000
3.00000000,"37230",930750.00000000
4.00000000,"22",550.00000000
5.00000000,"256824",6420600.00000000
6.00000000,"1357491",33937275.00000000
7.00000000,"266767",6669175.00000000
8.00000000,"2599",64975.00000000
9.00000000,"42723",1068075.00000000
10.00000000,"1480",37000.00000000
