value,count,
1.00000000,"5221",130525.00000000
2.00000000,"6613",165325.00000000
3.00000000,"69038",1725950.00000000
4.00000000,"14986",374650.00000000
5.00000000,"244288",6107200.00000000
6.00000000,"1095155",27378875.00000000
7.00000000,"201690",5042250.00000000
8.00000000,"20986",524650.00000000
9.00000000,"91710",2292750.00000000
10.00000000,"3743",93575.00000000
