value,count,
1.00000000,"6655",166375.00000000
2.00000000,"3386",84650.00000000
3.00000000,"57510",1437750.00000000
4.00000000,"4771",119275.00000000
5.00000000,"567426",14185650.00000000
6.00000000,"2989772",74744300.00000000
7.00000000,"552529",13813225.00000000
8.00000000,"10503",262575.00000000
9.00000000,"69342",1733550.00000000
10.00000000,"1468",36700.00000000
